ΚΩΔΙΚ. ΚΕΝ (*)	ΚΕΝ ΠΕΡΙΓΡΑΦΗ	 ΚΟΣΤΟΣ ΑΝΑ ΚΕΝ	ΜΔΝ (*)
Ν41Χ	Άλλες διαταραχές του νευρικού συστήματος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές	693 €	3
Ν42Μα	Χρόνια και μη διευκρινισμένη παραπληγία/ τετραπληγία με ή χωρίς χειρουργικές επεμβάσεις με  καταστροφικές συνυπάρχουσες παθήσεις – επιπλοκές	5.81 €	23
Ν82Μβ	Χρόνια και μη διευκρινισμένη παραπληγία/ τετραπληγία με ή χωρίς χειρουργικές επεμβάσεις με  σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές	2.48 €	11
Ν82Χ	Χρόνια και μη διευκρινισμένη παραπληγία/ τετραπληγία με ή χωρίς χειρουργικές επεμβάσεις χωρίς καταστροφικές/σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές	1.42 €	6
ΤΚΑ 02	Παθήσεις και δυσλειτουργίες των οφθαλμών (Ο)		
Ο01Α	Επεμβάσεις για διατρηταίνοντες τραυματισμούς των οφθαλμών	1.40 €	3
Ο02Α	Εκπυρήνωση-εξόρυξη  και επεμβάσεις οφθαλμικού κόγχου	1.61 €	3
Ο03Α	Επεμβάσεις αμφιβληστροειδούς	837 €	1
Ο04Α	"Σοβαρές επεμβάσεις κερατοειδούς, σκληρού και επιπεφυκότα"	1.36 €	3
Ο05Α	Ασκορυνοστομία	896 €	1
Ο10Α	Επεμβάσεις Στραβισμού	650 €	1
Ο11Α	Επεμβάσεις βλεφάρων	639 €	1
Ο12Α	"Λοιπές επεμβάσεις κερατοειδούς, σκληρού και επιπεφυκότα"	583 €	1
Ο13Α	Επεμβάσεις δακρυϊκής συσκευής	336 €	1
Ο14Α	Λοιπές επεμβάσεις οφθαλμού	406 €	2
Ο15Α	Επεμβάσεις γλαυκώματος και περίπλοκες επεμβάσεις καταρράκτη  	1.03 €	2
Ο15Β	Επεμβάσεις γλαυκώματος και περίπλοκες επεμβάσεις καταρράκτη την ίδια μέρα 	687 €	1
Ο16Α	Επεμβάσεις φακού (από καταράκτη κ.λπ.)	592 €	1
Ο17Α	Μεταμοσχεύσεις Κερατοειδούς	2.42 €	10
Ο20Μ	Επεμβάσεις για οξείες και μείζονες Λοιμώξεις του οφθαλμού με συνυπάρχουσες παθήσεις- επιπλοκές	1.86 €	8
